Gene ID,Vector_1,Vector_2,Vector_3,EGFP_1,EGFP_2,EGFP_3,PolyI_1,PolyI_2,PolyI_3
YAL068C,0.103238,0,0.113994,0,0.059305,0,0,0,0.096686
YAL067C,4.104074,2.443479,7.566964,0.672608,0.731897,1.242708,2.993706,2.889676,2.551134
YAL066W,0.448933,0.164934,0.693864,0,0.073808,0,0.301442,0.545409,0.155137
YAL065C,1.62645,1.514574,1.679253,2.130846,2.853328,3.126107,4.021806,3.670112,5.052544
YAL064W-B,1.266454,1.697525,1.231693,1.865402,1.692579,2.715263,2.299866,2.638139,2.736014
YAL064C-A,1.058594,2.590939,1.806944,1.469749,3.426002,4.743878,2.13267,2.636244,3.449928
YAL064W,1.307654,0.578126,0.95229,0.142548,0.105451,0.132757,0.457955,0.144229,0.229777
YAL063C-A,11.133484,5.099833,4.133516,1.623866,2.359256,1.725023,5.864717,4.615324,5.834779
YAL063C,3.903026,4.019633,2.722001,4.007252,5.353012,5.220161,9.683548,8.921452,9.12942
YAL062W,41.508347,59.271862,23.098597,57.422421,47.753101,41.474491,71.09713,63.490456,53.80637
YAL061W,32.898727,39.385815,20.707031,61.956455,61.33865,38.529739,94.078339,83.540947,81.534088
YAL060W,283.506378,321.579834,80.742775,241.434052,273.27478,282.111603,228.430069,228.324844,290.176971
YAL059C-A,0.231311,0.714303,0.356331,0,0,0.073731,0.202971,0.075634,0
YAL059W,21.881479,12.983367,46.942822,6.81581,9.863759,16.45616,17.823002,15.608243,15.203106
YAL058W,24.872677,36.349861,20.321941,35.26561,23.860477,29.226984,37.076923,37.871403,30.026052
YAL056C-A,2.825143,2.0156,1.477822,1.253671,1.402223,1.019279,1.278618,2.027827,1.080257
YAL056W,8.252197,6.09633,7.084274,8.817578,12.682232,13.501171,19.178082,16.779007,16.168962
YAL055W,8.517834,8.703129,8.524968,1.089452,2.365804,4.385315,3.279054,3.332802,2.783649
YAL054C,53.226768,55.136646,27.771648,22.305717,26.039045,21.562262,53.13636,52.119137,46.451805
YAL053W,120.189484,103.522873,99.939278,312.472443,370.747528,441.157166,184.777313,156.666168,146.884735
YAL051W,2.452143,2.333791,4.282908,3.34024,6.270589,6.079758,11.748119,9.671522,10.413578
YAL049C,41.112869,22.286417,31.179636,30.912874,39.069302,38.315804,70.68235,85.346992,83.142769
YAL048C,4.729668,4.621365,6.31565,4.492099,8.759287,7.33303,12.000934,10.614808,11.662497
YAL047W-A,1.07663,0.941419,0.558043,0.109718,0.345287,0.724081,0.230134,0.1976,0.052545
YAL047C,2.053503,1.812724,2.882549,0.765491,1.497496,1.369005,2.24237,1.708637,2.088988
YAL046C,54.873943,72.501442,65.884445,34.728493,39.072598,33.136841,43.906223,53.530117,55.656448
YAL045C,42.768246,39.359333,30.278255,20.947145,26.705633,23.536819,24.277462,29.109686,26.211761
YAL044W-A,57.327591,46.677299,52.392033,32.757935,35.802505,27.695839,41.265549,40.886322,41.145092
