AreaShape_MajorAxisLength,AreaShape_MinorAxisLength,Major/Minor,strain,plasmid
73.714801590452,53.332472368726776,1.3821748423888383,BY4741,phi
48.73830909893692,47.54136967338326,1.0251767972563017,BY4741,phi
76.74917420950665,54.826761382970474,1.3998487649745697,BY4741,phi
56.40569608296675,45.58053412304792,1.2374952853930041,BY4741,phi
42.82438087153616,34.41970790946129,1.2441819955062603,BY4741,phi
37.20105427156863,34.77107581350247,1.069885052481538,BY4741,phi
73.11535489120399,61.35487601663167,1.1916796127398965,BY4741,phi
62.57363345697413,55.72607648878677,1.1228788638935532,BY4741,phi
56.485926206610166,48.511661197881146,1.164378312591722,BY4741,phi
64.75084363303513,61.464156766584,1.0534732279649202,BY4741,phi
50.34559991816647,45.23504885400281,1.1129776841992165,BY4741,phi
72.54133141452932,56.02821629629999,1.2947285530365855,BY4741,phi
59.02401176634308,47.245511829700575,1.2493041027706262,BY4741,phi
41.06139863729165,33.40195756173803,1.2293111432584873,BY4741,phi
33.992258198975605,31.53173956858788,1.0780330760069738,BY4741,phi
56.46148459194978,48.99301648776505,1.1524394421815163,BY4741,phi
55.54066084254413,50.569461435223275,1.0983043771128291,BY4741,phi
68.08730485642911,62.852260115512514,1.0832912727608428,BY4741,phi
75.34308378008407,66.5599026604981,1.1319590439365022,BY4741,phi
51.01066224257363,43.96367451816922,1.160291144942674,BY4741,phi
78.40199624479821,61.546211901325805,1.273872003211124,BY4741,phi
75.91482118271468,70.20342890978604,1.0813548905177834,BY4741,phi
48.41648004861444,43.76926222836333,1.1061753747642478,BY4741,phi
76.76550278991633,66.15334798607863,1.160417501561235,BY4741,phi
62.67537015447818,57.95535949553899,1.0814421772209437,BY4741,phi
50.03477526983264,46.902256612745035,1.0667882290387791,BY4741,phi
58.84138801644171,51.24545771863746,1.1482264113925884,BY4741,phi
47.93601591557658,39.7400851138481,1.206238380674038,BY4741,phi
65.63123009444143,52.64489937362062,1.2466778524669007,BY4741,phi
43.15153507497476,37.64884740860688,1.1461581972655532,BY4741,phi
68.74536125993875,62.44468491038336,1.1009001223818764,BY4741,phi
65.874089609607,61.21490959356794,1.0761118499883993,BY4741,phi
30.578250998944924,28.3942080592345,1.0769186073143575,BY4741,phi
50.49442798585104,45.29446863908869,1.1148034076345215,BY4741,phi
68.67190990425075,52.19864644011106,1.3155879431287536,BY4741,phi
48.28907601857656,44.7098343081336,1.0800549088546236,BY4741,phi
59.73244334823032,56.726188256429296,1.0529958945630424,BY4741,phi
73.56967536409893,54.07614651079208,1.3604829506373293,BY4741,phi
38.384417124684774,37.77076645541834,1.0162467094754548,BY4741,phi
49.78680776158847,47.53710334195873,1.047325231481743,BY4741,phi
59.00943373233199,49.77351694614134,1.1855588544443143,BY4741,phi
79.95159006980136,62.78128097256126,1.2734940866329953,BY4741,phi
55.40901259416016,46.323180204376634,1.1961400825611945,BY4741,phi
44.08017796691384,42.58178173551993,1.035188669198969,BY4741,phi
78.76215977901003,68.35426752342964,1.1522639716973473,BY4741,phi
50.11064896291245,44.45788165655427,1.127148822564847,BY4741,phi
73.05290071021057,57.85274679568582,1.2627386728620853,BY4741,phi
60.05249749689407,54.73497692946834,1.097150320795383,BY4741,phi
54.26780274311217,49.47269319118133,1.0969243686289871,BY4741,phi
81.48628662006467,72.72228384760295,1.1205133049840348,BY4741,phi
75.24701082063484,66.68380814013904,1.1284150218670752,BY4741,phi
51.72815436310178,44.04326905784328,1.1744848979117721,BY4741,phi
62.19358931625965,51.58507534235236,1.2056508380282909,BY4741,phi
70.24704450668311,63.83417039671419,1.1004614624129119,BY4741,phi
56.52411743412506,53.55136572885854,1.0555121548219362,BY4741,phi
49.85665251734946,41.873431062958126,1.19065123759236,BY4741,phi
47.31830006249845,45.26497566904191,1.0453623218196242,BY4741,phi
80.97440578373471,78.72850121379535,1.0285272110520733,BY4741,phi
70.4725653185243,64.25358628618994,1.0967880454895482,BY4741,phi
69.37154459907427,56.779109607323186,1.221779367074241,BY4741,phi
45.0554713931345,29.754353973499903,1.5142480133583887,BY4741,phi
71.6069464436689,65.77267051979689,1.0887036496733997,BY4741,phi
71.67257594707438,67.99626118596362,1.054066425079702,BY4741,phi
54.52233401357133,48.846115377381366,1.1162061423377465,BY4741,phi
59.34900645566175,56.11297685453401,1.057669897099146,BY4741,phi
63.528427862353496,56.04220676754166,1.1335818399490236,BY4741,phi
48.89016250614339,40.81000255186669,1.1979945956633395,BY4741,phi
74.09142821175077,64.91526939460496,1.1413559383288707,BY4741,phi
45.74659780637874,44.13680207028225,1.0364728675524133,BY4741,phi
71.25456654300716,58.86286515068151,1.2105181485917218,BY4741,phi
50.62351135574229,45.8848664511278,1.1032725007418653,BY4741,phi
75.06717773199644,51.183727113371,1.4666219512643939,BY4741,phi
53.33773380398373,48.458124783965815,1.1006974380823031,BY4741,phi
47.08458960391742,44.49236251715736,1.058262293573654,BY4741,phi
47.7890608421962,44.02944588671079,1.085388650249177,BY4741,phi
59.3561129344841,53.93567193951451,1.1004982565350863,BY4741,phi
57.64815780247098,44.53999110850741,1.294301062207887,BY4741,phi
56.844706772285576,47.1221939316573,1.2063255555275954,BY4741,phi
64.5425051626788,51.99020945148302,1.241435759609884,BY4741,phi
32.19173865568685,30.935503027160863,1.0406082172778321,BY4741,phi
49.87370837179094,45.12961347195935,1.1051215495736355,BY4741,phi
79.32211577755113,73.70209411024493,1.0762532155314295,BY4741,phi
49.17172031031742,43.23850918709845,1.1372205294485345,BY4741,phi
64.81796716104388,61.093298472268266,1.0609668946008266,BY4741,phi
87.68596065933916,76.04211671318204,1.1531236168776802,BY4741,phi
76.18110526781062,56.370787057276345,1.3514288028372874,BY4741,phi
66.47247564956457,55.0620152840594,1.207229254262485,BY4741,phi
40.471114799883736,39.048222155882755,1.0364393707431983,BY4741,phi
63.97784891833272,50.53384657327796,1.266039560743905,BY4741,phi
62.520473746334766,54.60413820893859,1.1449768423613778,BY4741,phi
47.69237883155689,46.578422955073,1.0239157061534339,BY4741,phi
72.75208167398976,59.90904097464295,1.2143756683533418,BY4741,phi
77.80984434825805,72.11668000883185,1.0789437941226494,BY4741,phi
46.34707482950783,45.323211067751835,1.0225902741141943,BY4741,phi
72.19334193485908,61.5448694004838,1.1730196625340725,BY4741,phi
38.67493699864386,30.4637648476989,1.2695389815407268,BY4741,phi
51.49645367497737,45.12859156183562,1.141104827178496,BY4741,phi
57.77596828076349,51.22201823170562,1.127951812039321,BY4741,phi
65.7684124219923,59.712583851131384,1.1014162874940836,BY4741,phi
63.582321074631736,50.585954900425214,1.2569164939119748,BY4741,phi
69.86130321984716,63.271159050816344,1.1041571589314165,BY4741,phi
48.10636957624448,41.43121136773166,1.1611142418517773,BY4741,phi
51.013504649814166,43.068474688261766,1.1844743752607938,BY4741,phi
80.53128327378502,70.61649915477875,1.1404032235763322,BY4741,phi
55.001372083371685,43.085233948336295,1.2765712761203545,BY4741,phi
58.70592866166378,42.58255200557451,1.3786381016802034,BY4741,phi
56.43567324813563,51.68387272852976,1.0919397148229346,BY4741,phi
71.20601649382408,62.306977037453,1.142825729629313,BY4741,phi
38.563202384375586,35.265046092442724,1.093524797423692,BY4741,phi
51.81018611316238,44.03294812791942,1.1766231496162698,BY4741,phi
68.37612046124265,60.02094159385566,1.1392043950913677,BY4741,phi
62.510825329064495,52.50590016745502,1.1905485884386546,BY4741,phi
50.098653193844086,43.16547441863227,1.160618616349995,BY4741,phi
43.08777808268635,39.41509089052235,1.0931797215022312,BY4741,phi
72.47447938527638,71.18603717666927,1.0180996479043982,BY4741,phi
56.19441283939421,51.36099722574031,1.094106732242955,BY4741,phi
50.48618807155595,41.706039409861475,1.2105246335047195,BY4741,phi
40.03292951532834,36.482764288462946,1.0973107519702963,BY4741,phi
58.109272015390346,42.18636408895271,1.3774420543297627,BY4741,phi
64.13112206429206,54.910599106520166,1.1679188190951104,BY4741,phi
69.18190375430508,55.64023624058689,1.2433790441716384,BY4741,phi
46.659567245060046,44.1773997019416,1.0561863658763364,BY4741,phi
58.06068041243424,51.997837081655945,1.1165979908213755,BY4741,phi
61.25074456188276,57.55705498983646,1.0641744017774806,BY4741,phi
52.852310722313575,42.60919586720487,1.240396812158395,BY4741,phi
74.04595309501437,65.82414467427756,1.1249056628296712,BY4741,phi
74.56348823047225,59.02455550474623,1.2632621727151594,BY4741,phi
65.22138327486356,53.3889378034914,1.2216272875651473,BY4741,phi
73.93954811301562,70.28397551209305,1.0520114659748236,BY4741,phi
29.782714299204336,23.291589570562778,1.278689640695258,BY4741,phi
61.637315009931626,57.42017459679199,1.0734435316986175,BY4741,phi
52.695428724801296,50.330791484145664,1.0469819204293758,BY4741,phi
76.38184515603528,70.52191260421763,1.0830937836967738,BY4741,phi
50.193982821372224,48.38613781423717,1.0373628706237246,BY4741,phi
51.174180413696206,44.60062413331133,1.147387091730746,BY4741,phi
75.88730019841248,59.46700889078396,1.2761243858386375,BY4741,phi
55.46445491193108,49.598716647433825,1.1182639120724254,BY4741,phi
77.01153544742034,71.80065148360369,1.072574327058949,BY4741,phi
72.3683642779632,62.92621968002909,1.1500510382785756,BY4741,phi
58.1895096910646,51.15070149087103,1.1376092212821325,BY4741,phi
48.48607295362236,43.68276186128453,1.109958960644266,BY4741,phi
62.977219378397955,51.652441006670216,1.2192496259811865,BY4741,phi
46.98945481833724,39.54941656912258,1.1881200506766343,BY4741,phi
64.33078036878506,61.63948119109501,1.0436619375388068,BY4741,phi
58.36565029350364,51.19334275395225,1.140102348346801,BY4741,phi
47.49656053509291,46.39230467601757,1.0238025652484168,BY4741,phi
68.09042030264985,64.02176918440449,1.0635510572431426,BY4741,phi
47.87256145681547,40.60003213094355,1.1791261963147344,BY4741,phi
63.6194070856715,53.56744065135862,1.187650675710562,BY4741,phi
38.92577510981483,35.9277580377102,1.0834457042645933,BY4741,phi
67.68443577455523,51.923032659963994,1.303553207645059,BY4741,phi
61.23916443071521,49.06157858459725,1.24821023288356,BY4741,phi
48.557704237684206,41.27832254985201,1.176348776746944,BY4741,phi
76.87564045681613,68.53903201968156,1.1216330051866015,BY4741,phi
68.14290895365703,62.501985560115656,1.0902519070872687,BY4741,phi
76.13683854846349,65.67651260697437,1.1592704229605868,BY4741,phi
51.152898741796946,35.88005679444585,1.4256638175030787,BY4741,phi
78.51809923804636,66.82702594762414,1.1749452878478408,BY4741,phi
68.79612093013372,56.381564802314685,1.2201882152676502,BY4741,phi
69.75557703674313,62.15656534289066,1.1222559781405559,BY4741,phi
66.8811405922412,61.525412121817176,1.0870490466576632,BY4741,phi
40.295430056182425,34.5490161489681,1.1663264123770412,BY4741,phi
40.083635142939634,31.96477616679023,1.253993925494291,BY4741,phi
49.73175486496589,48.30717346426693,1.0294900591058744,BY4741,phi
79.68034520905584,68.71630943261034,1.159555073125658,BY4741,phi
54.13875769853959,50.17602695048528,1.0789765748484792,BY4741,phi
36.62481081184643,31.171131207160172,1.1749593098961233,BY4741,phi
54.46147906230762,46.407549986699664,1.1735478187906105,BY4741,phi
33.3612612269567,30.84827815343171,1.0814626690354008,BY4741,phi
59.18909109303315,51.97178306075096,1.1388697406022363,BY4741,phi
67.50232051959834,51.79663891995727,1.3032181610067688,BY4741,phi
71.24445802592068,64.47048953178121,1.105070840059314,BY4741,phi
84.31895807542827,62.296119330573944,1.3535186297558965,BY4741,phi
40.29758696896612,34.45689386689555,1.1695072435905784,BY4741,phi
65.09555758748637,54.46328971709077,1.1952189800804331,BY4741,phi
39.25118838299713,30.871858003504816,1.2714229373088275,BY4741,phi
62.30245707488669,55.16311450026039,1.1294223982692746,BY4741,phi
48.014846498438615,44.86770528624664,1.070142682629162,BY4741,phi
44.31143227589795,43.9473699996286,1.00828405149779,BY4741,phi
69.71312546405495,66.23465234314604,1.052517420985133,BY4741,phi
60.64705193881089,55.424487960575576,1.0942284569584155,BY4741,phi
68.79621046941544,56.16693943428554,1.2248523982672397,BY4741,phi
61.21091099665812,50.809675344305326,1.2047097443915975,BY4741,phi
58.11772292376793,49.68496860397546,1.1697244570487206,BY4741,phi
51.00840695932717,42.5605848876898,1.1984893321821057,BY4741,phi
63.29197594886719,46.543187195784206,1.3598547878259626,BY4741,phi
56.64029053276303,50.64079721329015,1.1184715417137703,BY4741,phi
64.7822877129899,53.320822912027715,1.2149528866025208,BY4741,phi
75.81101262043057,56.54448607990363,1.3407321894004167,BY4741,phi
57.96181648860544,50.47408529805818,1.1483480313973184,BY4741,phi
45.43348693720711,40.704460796321264,1.1161795549767666,BY4741,phi
60.44594183160791,54.4738383018469,1.109632508300017,BY4741,phi
74.82831896549169,63.67245857023309,1.1752069991604497,BY4741,phi
46.480745249941286,38.50672983790185,1.2070810854519949,BY4741,phi
52.94634480021387,43.5976142639361,1.2144321585966007,BY4741,phi
72.44932702815203,64.7427938581513,1.1190330646972915,BY4741,phi
63.08940264571974,56.105617052603165,1.1244756935222504,BY4741,phi
45.62408934190879,42.34678687873989,1.0773919984189937,BY4741,delta
76.6481899601204,61.10125895890306,1.2544453463990697,BY4741,delta
72.7400119795345,67.01196273612298,1.085478010336262,BY4741,delta
80.82728864071913,60.92927219621658,1.3265756462743064,BY4741,delta
52.91208256520712,48.06052837910848,1.100946750893558,BY4741,delta
52.313636066464056,46.31847596248099,1.1294334491670082,BY4741,delta
48.76595738980689,45.56287779994032,1.0703002036862292,BY4741,delta
56.191242652442995,51.77030268645791,1.0853952891247343,BY4741,delta
52.02081756354166,49.4134922445329,1.0527654533321764,BY4741,delta
43.96628941131888,37.6096974566566,1.169014705900997,BY4741,delta
48.144851081819894,47.28702621688462,1.0181408080305328,BY4741,delta
70.03131265477427,61.58088902390613,1.1372247748418771,BY4741,delta
65.90818656118483,53.686436108639235,1.2276506197545654,BY4741,delta
57.27101515653261,46.6825104742677,1.226819521373031,BY4741,delta
78.29306867441727,70.55288033701,1.109707616477665,BY4741,delta
74.08477086560163,64.67847110443454,1.1454316962127784,BY4741,delta
59.92615041093599,54.29268798386876,1.103760978434905,BY4741,delta
54.221695991042566,43.13656855755537,1.2569774973801349,BY4741,delta
46.98722883495318,39.98846735606178,1.1750194979110762,BY4741,delta
64.68684059769953,54.448348575202296,1.188040451003875,BY4741,delta
54.76391713741904,51.86314473935721,1.055931286323649,BY4741,delta
40.1233724169108,35.76023024990938,1.1220110199657476,BY4741,delta
57.94065565340394,53.8671788679613,1.0756207559231477,BY4741,delta
66.51139896287849,58.392827432927625,1.139033711619397,BY4741,delta
51.73847839245264,51.16783520532001,1.0111523808823029,BY4741,delta
50.10857043918084,47.26316788562139,1.0602033820594807,BY4741,delta
103.67676935184788,100.57009973050798,1.0308905890484814,BY4741,delta
65.39994699002321,58.12759368257075,1.1251101730989603,BY4741,delta
63.701854649281536,51.157224501431905,1.245217176461528,BY4741,delta
44.042046814917185,31.837019870543863,1.3833595918839632,BY4741,delta
58.952687514329135,50.89880333605932,1.1582332717155264,BY4741,delta
64.88279481595157,57.88741851125904,1.120844502736496,BY4741,delta
57.96412992058463,47.382243321706824,1.2233302152249517,BY4741,delta
79.50923476007439,56.47940996610276,1.4077561151540614,BY4741,delta
77.32280996725687,72.35253282331043,1.0686952750649958,BY4741,delta
94.0834944156579,92.00673609502653,1.0225718073346983,BY4741,delta
72.63375508916954,62.07558322194007,1.170085745783179,BY4741,delta
41.3152471820867,37.10555313976617,1.1134518606005899,BY4741,delta
45.87185637115997,41.568835767508595,1.1035155429350452,BY4741,delta
61.77721017125248,45.85001919513307,1.3473758845843637,BY4741,delta
53.64434166286051,47.047883863922195,1.1402073219279623,BY4741,delta
58.80283955366512,53.652595310139326,1.0959924531843197,BY4741,delta
88.60978840916965,83.60974704600417,1.0598021347967281,BY4741,delta
60.2827869925622,54.60689528922241,1.1039409340757746,BY4741,delta
62.66502420467075,54.78560167024519,1.1438228712326979,BY4741,delta
80.79845840434211,68.23975168624114,1.184037989702022,BY4741,delta
44.01202081478058,39.22765948440516,1.1219639762672413,BY4741,delta
64.39510699406492,49.50768085790601,1.3007094228244687,BY4741,delta
50.81198052066746,47.743729245740255,1.0642650107857035,BY4741,delta
74.46335875123691,53.421813405273035,1.3938755351926515,BY4741,delta
83.39133925555839,54.79214486766758,1.5219579276730772,BY4741,delta
69.82115245751284,66.16846511103344,1.055202842326024,BY4741,delta
56.71926289872986,52.17938781109005,1.0870051427984542,BY4741,delta
77.78464851053792,68.00070441043242,1.1438800404338825,BY4741,delta
76.3832006234459,65.5026823777387,1.1661079798680885,BY4741,delta
57.1357603324339,52.35950566292299,1.0912203927259971,BY4741,delta
95.82765535433714,57.661143903772285,1.66191041083505,BY4741,delta
53.197266645463806,46.88547331200512,1.1346215125409118,BY4741,delta
82.70857220806897,65.60333516569438,1.2607373085403644,BY4741,delta
74.8536381916588,56.29472939285241,1.3296740032142826,BY4741,delta
25.092208208862203,23.59872761134624,1.0632864882426076,BY4741,delta
50.95618049145725,47.47460687960212,1.0733354911328612,BY4741,delta
78.94043110829345,55.0576036934531,1.4337789117705508,BY4741,delta
62.54404405163211,54.46912843686581,1.1482475641982375,BY4741,delta
44.12684958700944,39.47173644393441,1.1179353522915603,BY4741,delta
46.60130140035654,43.54023560204649,1.070304300286473,BY4741,delta
62.180048599353505,56.671108727748425,1.0972089658254327,BY4741,delta
72.21476260642662,59.906421280546994,1.2054594659934466,BY4741,delta
53.19647390315085,51.209380542912555,1.038803307893427,BY4741,delta
56.83320359194124,48.76275473739511,1.165504366970414,BY4741,delta
63.488040280608374,48.623572237477816,1.3057049772183007,BY4741,delta
74.47371191387853,69.38461643193652,1.073346164375416,BY4741,delta
46.658623211629326,41.486791801302,1.1246621198162885,BY4741,delta
57.49455562356933,49.25708971598036,1.1672341170598335,BY4741,delta
42.577006964292785,35.715634523221844,1.1921111729545155,BY4741,delta
62.19271202556843,51.815910056187946,1.2002628528212305,BY4741,delta
60.96248684962021,54.08730689578646,1.127112632305406,BY4741,delta
55.11418104628514,46.53748397235449,1.1842965356491044,BY4741,delta
74.2223808270196,71.77045812013408,1.0341633977420255,BY4741,delta
48.87011676123315,45.79541209410358,1.0671400152664081,BY4741,delta
75.59660292500548,65.5816622852724,1.1527094661945176,BY4741,delta
84.69757793711891,51.19293534928568,1.6544778563532934,BY4741,delta
76.76514620291326,54.05844579881972,1.420039830382791,BY4741,delta
69.94045770294352,50.94287299276536,1.3729193819295606,BY4741,delta
75.62745696307599,63.19222910621152,1.1967841304658478,BY4741,delta
48.53458486338514,43.86609155166343,1.1064260148689877,BY4741,delta
79.26735656399875,53.62939702491697,1.4780579488367176,BY4741,delta
40.02806965172925,38.036794961811374,1.052351274388841,BY4741,delta
81.5363870665595,66.96714535560895,1.2175580522894467,BY4741,delta
59.605148872243426,54.62080662712185,1.0912535451764385,BY4741,delta
48.788913090206535,44.070941659704616,1.1070540191070095,BY4741,delta
57.37160956480132,47.29041296996083,1.2131763281755252,BY4741,delta
72.73324132285573,65.97135178518319,1.102497362183675,BY4741,delta
54.32398471200566,47.114028355839075,1.1530320502783544,BY4741,delta
66.3843283277284,61.02668039483298,1.0877918952535561,BY4741,delta
61.52891935061259,54.83510319672994,1.122071734411942,BY4741,delta
57.89589106254672,51.978910160599334,1.1138342624665596,BY4741,delta
68.8715292763095,62.40254673469041,1.1036653611129448,BY4741,delta
53.3764152158346,47.21795111054318,1.1304263306739777,BY4741,delta
49.51431392342605,41.20502732382647,1.2016571068937212,BY4741,delta
69.12222638556156,56.734119110211,1.218353743208484,BY4741,delta
51.18633870460813,34.412652785558755,1.4874278662436755,BY4741,delta
69.26171910242567,56.097178236366425,1.2346738513404405,BY4741,delta
56.47422716618546,52.11220564808478,1.0837044117371952,BY4741,delta
79.30961784508273,75.29338906693191,1.05334105461212,BY4741,delta
81.65911408937073,53.83079295933515,1.5169591529342257,BY4741,delta
50.49036080691085,47.136422810042355,1.071153850821152,BY4741,delta
63.009703579542645,56.34918271568758,1.1182008423699954,BY4741,delta
64.50768444574383,48.708512789971984,1.3243616105442775,BY4741,delta
52.60632186491356,48.783494970685275,1.078363120488302,BY4741,delta
51.190116487905655,45.22745684022113,1.1318371640649467,BY4741,delta
57.306745955018506,39.51281405412217,1.4503331976437652,BY4741,delta
58.910388824544434,48.087910044445465,1.2250561267914586,BY4741,delta
72.15026619994494,59.75082573245915,1.207519148321157,BY4741,delta
55.77853017881045,44.15844448025365,1.2631452678038275,BY4741,delta
55.024404171860766,49.04443165278248,1.121929693495368,BY4741,delta
47.03377507224011,41.033763712551206,1.1462213264598404,BY4741,delta
47.8708088842569,46.6585580063028,1.0259813189638298,BY4741,delta
56.13531002913101,49.12562904946971,1.142688879822842,BY4741,delta
62.27536754230225,56.9135632837629,1.0942096039885283,BY4741,delta
34.397495646968245,29.99772994482791,1.146669955034345,BY4741,delta
57.74384503214323,54.63036373634939,1.0569917731249192,BY4741,delta
63.65965358828144,57.26986599848595,1.1115732938848577,BY4741,delta
64.12816377315838,57.45765161363653,1.1160944099208316,BY4741,delta
51.01913467855105,47.25735297166968,1.079602040112922,BY4741,delta
75.35547826631826,66.84006122075479,1.1273998989534035,BY4741,delta
72.01410831671092,68.43195710353038,1.0523461751614251,BY4741,delta
70.60775555195666,66.42390757442516,1.0629870799582768,BY4741,delta
42.50476619461775,39.781555418437605,1.0684541051131957,BY4741,delta
56.09793115036642,52.3580745474575,1.0714284594159227,BY4741,delta
70.22076504104895,60.72599086417751,1.1563543721848504,BY4741,delta
60.739902048391826,50.84935200419546,1.1945069043039196,BY4741,delta
63.157229171633034,54.85890836716729,1.1512666046674789,BY4741,delta
59.33027157037428,50.86028801399373,1.166534321513282,BY4741,delta
55.4458891187374,48.58114972327249,1.1413045890138,BY4741,delta
44.54388485908594,42.38081482832839,1.0510388967158721,BY4741,delta
44.956317153726495,40.97309516651203,1.0972155501317853,BY4741,delta
61.72660263821652,52.865752480518594,1.1676104045045648,BY4741,delta
72.29972231425074,66.98182218259899,1.07939318397691,BY4741,delta
52.23297244301361,47.27165858477455,1.1049532427414557,BY4741,delta
44.07524495235227,23.6661444651234,1.8623753868022566,BY4741,delta
59.866146604165586,46.3866249315708,1.2905906970485495,BY4741,delta
70.8367262356846,59.94185056805726,1.1817574126320545,BY4741,delta
66.08398675151912,62.58492143665425,1.055909078968909,BY4741,delta
74.18798663300952,64.95291967324148,1.1421809366880944,BY4741,delta
61.53367798187912,48.99401353578424,1.2559427885395869,BY4741,delta
53.725911351087966,47.70000358766643,1.1263292937147624,BY4741,delta
48.89633360224406,47.177909837989304,1.0364243301612108,BY4741,delta
41.222562660552875,38.67517381110774,1.0658662547164433,BY4741,delta
59.15932221979654,50.892041564439246,1.1624474161620988,BY4741,delta
48.827476264772905,47.28347572249883,1.0326541253298644,BY4741,delta
64.95959398775219,54.46059102152855,1.1927816567777116,BY4741,delta
76.94217399594167,70.67328826725684,1.0887023355270882,BY4741,delta
50.16322912450842,46.483549388817615,1.079160902815567,BY4741,delta
67.69111450642005,64.2712369500001,1.053210078391372,BY4741,delta
39.114533227015066,31.687944223904285,1.2343663871229746,BY4741,delta
57.742959407365454,45.26743300424328,1.2755960648785352,BY4741,delta
58.372413650516854,51.11058750759347,1.1420806626776594,BY4741,delta
69.77388169902481,54.863410449971425,1.27177441443692,BY4741,delta
61.11497752970163,54.86285312722448,1.1139591553501376,BY4741,delta
69.48540720049937,61.59418009605002,1.1281164404192696,BY4741,delta
40.28351351593688,38.467019845407144,1.0472221055290984,BY4741,delta
58.59740232222594,47.775797342128406,1.2265080978681042,BY4741,delta
77.7512520418581,68.3505209878656,1.1375370797197206,BY4741,delta
52.241049392659406,46.709809131643674,1.1184171026138614,BY4741,delta
57.82758237370689,52.256074258924336,1.1066193393551955,BY4741,delta
66.2600921360721,59.05289751074903,1.1220464181966887,BY4741,delta
65.14519326310683,55.39825142707423,1.1759431315059357,BY4741,delta
71.94133201957591,59.7775261047924,1.2034845987681033,BY4741,delta
84.94384757156148,64.86212793946423,1.3096062412697822,BY4741,delta
52.64597106362947,43.08576569564199,1.2218877908662644,BY4741,delta
62.01585697220178,40.673142100598355,1.5247373025377708,BY4741,delta
59.16882884337246,51.680992026782704,1.144885702130279,BY4741,delta
66.50979299757984,63.221100405679145,1.0520189077823339,BY4741,delta
76.18403004390511,63.574629764555254,1.1983401291686322,BY4741,delta
55.44655253966065,48.62802081782456,1.140218162433145,BY4741,delta
75.97081395443455,59.35204318573286,1.2800033474280887,BY4741,delta
64.12369061227533,55.60713908608139,1.1531557218401414,BY4741,delta
61.2675516869041,56.56218933653181,1.0831891835440897,BY4741,delta
73.70503931857364,53.28079841089007,1.3833321105696692,BY4741,delta
62.036294377812155,49.05018013917108,1.2647516115495459,BY4741,delta
78.52462384289612,66.95300943003583,1.1728318788261836,BY4741,delta
79.72736824876604,62.399053860279466,1.2777015566179446,BY4741,delta
53.91663645481429,51.13306927823863,1.0544377096048936,BY4741,delta
56.22567558815519,50.06359146003173,1.1230851392881585,BY4741,delta
44.44293410599256,40.33701327830548,1.1017904027588323,BY4741,delta
60.218998737564064,50.392792916774944,1.1949922846510486,BY4741,delta
61.25281019778883,50.72100513584738,1.207641883944016,BY4741,delta
55.96139526907591,49.1595386040068,1.138362906939788,BY4741,delta
46.86982337814917,42.35102011554353,1.1066988056079237,BY4741,delta
67.48757794219514,55.79154094319056,1.2096381781409122,BY4741,delta
77.64842054814089,63.32666441927261,1.2261568055131868,BY4741,delta
70.95365989859093,66.95474742552227,1.059725600152803,BY4741,delta
70.98373710845938,62.884556753085874,1.1287944254290392,BY4741,delta
54.50021334446774,44.42629472079743,1.226755769009797,BY4741,delta
77.43085021578365,63.93095972241329,1.2111635825895084,BY4741,delta
54.143430366595226,48.048363740953945,1.126852740678163,BY4741,delta
69.2416350452442,63.870545332399395,1.0840933748865336,BY4741,delta
83.23056282647839,74.98859178326543,1.1099096655533176,BY4741,delta
64.75418751664344,50.102152834215346,1.2924432155821866,BY4741,delta
59.22042738637736,50.12312672449226,1.1814990655289623,BY4741,delta
70.55915194989835,65.24117646632523,1.081512562642368,BY4741,delta
66.77557292986272,61.452508404180904,1.0866207851219245,BY4741,delta
40.73467137265363,38.02417797299459,1.0712834187128009,BY4741,delta
58.38196578755924,49.68405976561652,1.1750643176699913,BY4741,delta
77.20363729935428,70.50797430736716,1.0949632017904607,BY4741,delta
66.03118714406652,60.50788737252184,1.0912823106439005,BY4741,delta
42.23825161746364,39.26915429440843,1.0756088939628115,BY4741,delta
59.853780643829474,54.847120058112885,1.091283928498193,BY4741,delta
53.03063031618256,46.81151701911861,1.1328543421167905,BY4741,delta
